Environment,Marked_Group,Ancestor,fit
LB,Isogenic,MG1655,0.991436508
LB,Common,PB2,0.911817071
LB,Common,PB5,0.905893844
LB,Common,OLC809,0.924210025
LB,Common,PB6,1.274713339
LB,Common,PB10,1.052524598
LB,Isogenic,PB1,1.262723138
LB,Isogenic,PB4,1.128229362
LB,Isogenic,PB13,1.794621213
LB,Isogenic,PB15,0.888795907
LB,Isogenic,OLC682,0.842986837
LB,Isogenic,OLC969,1.169866963
M9-Glucose,Isogenic,MG1655,1.027475242
M9-Glucose,Common,PB2,1.122110145
M9-Glucose,Common,OLC809,1.222054205
M9-Glucose,Common,PB6,1.59231423
M9-Glucose,Common,PB10,1.291309262
M9-Glucose,Isogenic,PB1,1.287036963
M9-Glucose,Isogenic,PB4,1.225026378
M9-Glucose,Isogenic,PB13,1.837405345
M9-Glucose,Isogenic,PB15,1.286799877
M9-Glucose,Isogenic,OLC682,0.785254255
M9-Glucose,Isogenic,OLC969,1.356436211
M9-Glucose,Common,PB5,1.05011103
Urine,Isogenic,PB1,0.774241723
Urine,Isogenic,PB4,1.193098169
Urine,Isogenic,PB13,1.770646276
Urine,Isogenic,PB15,0.959201027
Urine,Isogenic,OLC682,1.040639582
Urine,Isogenic,OLC969,1.286387385
Urine,Common,PB2,1.080673965
Urine,Common,PB5,1.088954746
Urine,Common,PB6,1.355028094
Urine,Common,PB10,1.201939657
Urine,Common,OLC809,1.385469424
Urine,Isogenic,MG1655,0.959538019
Colon,Isogenic,MG1655,1.063687798
Colon,Common,PB2,1.253021194
Colon,Common,PB5,1.041297543
Colon,Common,OLC809,1.10500855
Colon,Common,PB6,1.070757453
Colon,Common,PB10,1.140660707
Colon,Isogenic,PB1,1.040363704
Colon,Isogenic,PB4,0.93401346
Colon,Isogenic,PB13,2.315930073
Colon,Isogenic,PB15,1.117874549
Colon,Isogenic,OLC682,0.990489324
Colon,Isogenic,OLC969,2.254835456
