Ancestor,Environment,CFU_per_ml
MG1655,LB,2700000000
PB1,LB,1283333333
PB2,LB,3066666667
PB4,LB,3333333333
PB5,LB,2416666667
PB6,LB,2850000000
PB10,LB,3483333333
PB13,LB,2433333333
PB15,LB,2650000000
OLC682,LB,2333333333
OLC809,LB,2400000000
OLC969,LB,3483333333
MG1655,M9-Glucose,605000000
PB1,M9-Glucose,1433333333
PB2,M9-Glucose,683333333.3
PB4,M9-Glucose,1900000000
PB5,M9-Glucose,1200000000
PB6,M9-Glucose,1300000000
PB10,M9-Glucose,1233333333
PB13,M9-Glucose,1283333333
PB15,M9-Glucose,600000000
OLC682,M9-Glucose,1116666667
OLC809,M9-Glucose,783333333.3
OLC969,M9-Glucose,1116666667
MG1655,Colon,1100000000
PB1,Colon,1366666667
PB2,Colon,1216666667
PB4,Colon,1650000000
PB5,Colon,1000000000
PB6,Colon,583333333.3
PB10,Colon,1033333333
PB13,Colon,1000000000
PB15,Colon,1466666667
OLC682,Colon,1316666667
OLC809,Colon,783333333.3
OLC969,Colon,1050000000
MG1655,Urine,81666666.67
PB1,Urine,146666666.7
PB2,Urine,280000000
PB4,Urine,120000000
PB5,Urine,180000000
PB6,Urine,78333333.33
PB10,Urine,146666666.7
PB13,Urine,131666666.7
PB15,Urine,133333333.3
OLC682,Urine,113333333.3
OLC809,Urine,130000000
OLC969,Urine,181666666.7
