#Environment	Ancestor	Mutation	Marked_genotype	fit	scaledfit
0	0	0	0	1.0109778673	1.0197101468
0	0	0	0	0.9824988456	0.9909851387
0	0	0	0	0.9931270096	1.001705103
0	0	0	0	0.9791423104	0.9875996115
0	1	0	0	0.9312141448	1.0212729881
0	1	0	0	0.8799946262	0.965099968
0	1	0	0	0.9356119482	1.0260961084
0	1	0	0	0.9004475652	0.9875309355
0	2	0	0	0.9105851238	1.0051786201
0	2	0	0	0.920393867	1.0160063162
0	2	0	0	0.9081579006	1.0024992518
0	2	0	0	0.8844384835	0.9763158119
0	3	0	0	0.9050954234	0.9793179028
0	3	0	0	0.9095944549	0.984185878
0	3	0	0	0.9683968416	1.0478103628
0	3	0	0	0.9137533801	0.9886858564
0	4	0	0	1.2823703626	1.0060068598
0	4	0	0	1.2720154321	0.9978835192
0	4	0	0	1.2728660741	0.9985508395
0	4	0	0	1.2716014847	0.9975587816
0	5	0	0	1.0787870024	1.0249518202
0	5	0	0	1.0121449224	0.9616354093
0	5	0	0	1.0727540837	1.0192199649
0	5	0	0	1.0464123829	0.9941928056
0	6	0	0	1.2592461413	0.9972464298
0	6	0	0	1.2775087298	1.0117092902
0	6	0	0	1.2555923084	0.9943528161
0	6	0	0	1.2585453731	0.9966914639
0	7	0	0	1.1297809131	1.0013752089
0	7	0	0	1.1314659593	1.0028687406
0	7	0	0	1.1260874823	0.9981015565
0	7	0	0	1.1255830931	0.9976544939
0	10	0	0	1.7871549191	0.995839627
0	10	0	0	1.8171989246	1.0125807673
0	10	0	0	1.7795400317	0.9915964545
0	10	0	0	1.7945909756	0.9999831512
0	11	0	0	0.9034517537	1.0164895527
0	11	0	0	0.8951572152	1.0071572208
0	11	0	0	0.8874792225	0.9985185753
0	11	0	0	0.8690954355	0.9778346513
0	8	0	0	0.8629226223	1.0236489877
0	8	0	0	0.8433095536	1.0003828252
0	8	0	0	0.8811430709	1.0452631433
0	8	0	0	0.7845721011	0.9307050438
0	9	0	0	1.161567122	0.9929053126
0	9	0	0	1.1566336128	0.9886881586
0	9	0	0	1.1793645785	1.0081185438
0	9	0	0	1.1819025359	1.0102879849
1	0	0	0	1.0383838509	1.0106169073
1	0	0	0	1.01592571	0.9887593092
1	0	0	0	1.0282747453	1.0007781246
1	0	0	0	1.0273166599	0.9998456589
1	1	0	0	1.1309951731	1.0079181428
1	1	0	0	1.1128898944	0.9917831147
1	1	0	0	1.1193837983	0.9975703397
1	1	0	0	1.1251717131	1.0027284028
1	3	0	0	1.2032545923	0.9846163836
1	3	0	0	1.2186156925	0.9971862844
1	3	0	0	1.2150809889	0.9942938567
1	3	0	0	1.251265548	1.0239034753
1	4	0	0	1.596393877	1.002562087
1	4	0	0	1.6154636065	1.0145381964
1	4	0	0	1.5685106786	0.9850509715
1	4	0	0	1.5888887556	0.9978487451
1	5	0	0	1.3054674891	1.0109642422
1	5	0	0	1.2731324492	0.9859237342
1	5	0	0	1.2994999365	1.0063429227
1	5	0	0	1.2871371717	0.9967691009
1	6	0	0	1.2768527545	0.9920870896
1	6	0	0	1.2884474961	1.0010959541
1	6	0	0	1.2893010173	1.0017591217
1	6	0	0	1.2935465828	1.0050578346
1	7	0	0	1.2430129041	1.0146825619
1	7	0	0	1.224481122	0.9995549023
1	7	0	0	1.1966829704	0.9768630222
1	7	0	0	1.2359285173	1.0088995136
1	10	0	0	1.8076313523	0.9837956317
1	10	0	0	1.844555286	1.0038913247
1	10	0	0	1.8620332002	1.0134036048
1	10	0	0	1.8354015422	0.9989094388
1	11	0	0	1.2675749034	0.9850598571
1	11	0	0	1.2911493638	1.0033800798
1	11	0	0	1.3059582302	1.01488837
1	11	0	0	1.2825170124	0.996671693
1	8	0	0	0.755813866	0.9625084634
1	8	0	0	0.7941348832	1.0113092397
1	8	0	0	0.7718787931	0.9829667125
1	8	0	0	0.8191894762	1.0432155845
1	9	0	0	1.3832732545	1.019784965
1	9	0	0	1.3676652664	1.0082783509
1	9	0	0	1.3513940288	0.996282772
1	9	0	0	1.3234122961	0.975653912
1	2	0	0	1.0409936767	0.9913177249
1	2	0	0	1.0447208297	0.9948670191
1	2	0	0	1.0687141181	1.0177153539
1	2	0	0	1.0460154936	0.996099902
2	6	0	0	0.962699885	1.24340998
2	6	0	0	0.700212548	0.904384932
2	6	0	0	0.705300815	0.910956868
2	6	0	0	0.728753644	0.94124822
2	7	0	0	1.261469882	1.057306024
2	7	0	0	1.172659511	0.982869257
2	7	0	0	1.222500283	1.024643499
2	7	0	0	1.115763001	0.93518122
2	10	0	0	1.792165378	1.012153248
2	10	0	0	1.66815449	0.942116171
2	10	0	0	1.824336544	1.030322413
2	10	0	0	1.79792869	1.015408168
2	11	0	0	0.972327634	1.013684939
2	11	0	0	0.968422713	1.009613924
2	11	0	0	0.973393181	1.014795808
2	11	0	0	0.922660579	0.961905329
2	8	0	0	1.054310802	1.013137325
2	8	0	0	1.044124606	1.003348925
2	8	0	0	1.055645334	1.01441974
2	8	0	0	1.008477585	0.96909401
2	9	0	0	1.297466342	1.008612458
2	9	0	0	1.260511867	0.979885128
2	9	0	0	1.284136423	0.998250168
2	9	0	0	1.303434907	1.013252246
2	1	0	0	1.073020774	0.992918132
2	1	0	0	1.08673308	1.005606793
2	1	0	0	1.087441387	1.006262224
2	1	0	0	1.075500617	0.995212851
2	2	0	0	1.098480335	1.008747461
2	2	0	0	1.045342754	0.959950593
2	2	0	0	1.087371219	0.998545829
2	2	0	0	1.124624675	1.032756117
2	4	0	0	1.367485281	1.009193306
2	4	0	0	1.35569622	1.000493072
2	4	0	0	1.347595706	0.994514957
2	4	0	0	1.349335168	0.995798666
2	5	0	0	1.195041383	0.994260715
2	5	0	0	1.216957771	1.012494899
2	5	0	0	1.195480636	0.994626169
2	5	0	0	1.200278837	0.998618217
2	3	0	0	1.379241676	0.995504955
2	3	0	0	1.38840061	1.002115663
2	3	0	0	1.392768324	1.005268179
2	3	0	0	1.381467085	0.997111204
2	0	0	0	0.933444289	0.972805945
2	0	0	0	1.014919195	1.0577165
2	0	0	0	0.939530124	0.979148408
2	0	0	0	0.950258468	0.990329147
3	0	0	0	1.0693608619	1.0053333918
3	0	0	0	1.0588954957	0.9954946343
3	0	0	0	1.0727511918	1.0085207273
3	0	0	0	1.0537436433	0.9906512466
3	1	0	0	1.2734295574	1.0162873253
3	1	0	0	1.2400812668	0.9896730184
3	1	0	0	1.2552990152	1.0018178636
3	1	0	0	1.243274935	0.9922217927
3	2	0	0	1.0371900495	0.9960554084
3	2	0	0	1.032845723	0.9918833766
